JOBID,N,partition,exe,solver,rep,first_residual,last_residual,Cext,Qext,elapsed_time,total_iterations,total_matvec,total_wall_time,solver_time,fft_time
1555408,150,gpu_all,adda_ocl,bicgstab,1,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:14.40,54,107,13.9964,11.0606,5.9629
1555410,150,gpu_all,adda_ocl,bicg,1,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:17.20,131,131,16.7928,13.9989,7.1022
1555412,150,gpu_all,adda_ocl_blas,bicg,1,5.91754776519975101E-01,7.54886709675496614E-05,24.730435986491418,3.5890942102383603,0:07.48,131,131,7.0390,3.5193,0.0589
1555414,250,gpu_all,adda_ocl,bicgstab,1,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:11.47,54,107,71.0564,57.1459,33.7325
1555416,250,gpu_all,adda_ocl,bicg,1,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:29.73,131,131,89.3179,75.6299,44.1094
1555418,250,gpu_all,adda_ocl_blas,bicg,1,5.91779622706235631E-01,7.61715454406639480E-05,24.730587626740299,3.5891162175794191,0:40.84,131,131,40.3900,25.3238,0.0925
1555420,150,gpu_all,adda_ocl,bicgstab,2,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:14.37,54,107,13.9628,11.0312,5.9300
1555424,150,gpu_all,adda_ocl_blas,bicg,2,5.91754776519975101E-01,7.54886709675496614E-05,24.730435986491418,3.5890942102383603,0:07.48,131,131,7.0307,3.5262,0.0590
1555422,150,gpu_all,adda_ocl,bicg,2,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:17.18,131,131,16.7768,13.9863,7.0914
1555426,250,gpu_all,adda_ocl,bicgstab,2,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:13.28,54,107,72.8456,58.9288,35.5664
1555428,250,gpu_all,adda_ocl,bicg,2,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:25.16,131,131,84.7443,71.1964,39.7169
1555432,150,gpu_all,adda_ocl,bicgstab,3,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:14.36,54,107,13.9516,11.0189,5.9186
1555430,250,gpu_all,adda_ocl_blas,bicg,2,5.91779622706235631E-01,7.61715454406639480E-05,24.730587626740299,3.5891162175794191,0:40.98,131,131,40.5357,25.4476,0.0915
1555434,150,gpu_all,adda_ocl,bicg,3,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:17.19,131,131,16.7925,13.9847,7.0986
1555436,150,gpu_all,adda_ocl_blas,bicg,3,5.91754776519975101E-01,7.54886709675496614E-05,24.730435986491418,3.5890942102383603,0:07.52,131,131,7.0664,3.5435,0.0593
1555438,250,gpu_all,adda_ocl,bicgstab,3,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:11.46,54,107,71.0542,57.1568,33.7821
1555440,250,gpu_all,adda_ocl,bicg,3,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:25.36,131,131,84.9489,71.3054,39.7943
1555442,250,gpu_all,adda_ocl_blas,bicg,3,5.91779622706235631E-01,7.61715454406639480E-05,24.730587626740299,3.5891162175794191,0:40.93,131,131,40.4858,25.4009,0.0921
1555407,150,gpu_h200,adda_ocl,bicgstab,1,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:18.90,54,107,18.2994,15.1035,4.8982
1555409,150,gpu_h200,adda_ocl,bicg,1,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:21.84,131,131,21.2279,18.2709,5.7086
1555411,150,gpu_h200,adda_ocl_blas,bicg,1,5.91754776519974879E-01,7.54886709674716801E-05,24.730435986491429,3.5890942102383616,0:06.87,131,131,6.1453,2.0312,0.0668
1555413,250,gpu_h200,adda_ocl,bicgstab,1,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:31.32,54,107,90.7211,74.5040,25.1273
1555415,250,gpu_h200,adda_ocl,bicg,1,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:48.25,131,131,107.6380,91.8141,29.0724
1555417,250,gpu_h200,adda_ocl_blas,bicg,1,5.91779622706235520E-01,7.61715454406533229E-05,24.730587626740316,3.5891162175794218,0:32.38,131,131,31.6344,14.3351,0.1001
1555419,150,gpu_h200,adda_ocl,bicgstab,2,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:18.96,54,107,18.3620,15.1885,4.9075
1555421,150,gpu_h200,adda_ocl,bicg,2,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:21.83,131,131,21.2296,18.2613,5.7253
1555423,150,gpu_h200,adda_ocl_blas,bicg,2,5.91754776519974879E-01,7.54886709674716801E-05,24.730435986491429,3.5890942102383616,0:06.91,131,131,6.1619,2.0378,0.0665
1555425,250,gpu_h200,adda_ocl,bicgstab,2,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:31.79,54,107,91.1808,74.9523,25.2443
1555427,250,gpu_h200,adda_ocl,bicg,2,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:49.14,131,131,108.5313,92.5778,29.3217
1555429,250,gpu_h200,adda_ocl_blas,bicg,2,5.91779622706235520E-01,7.61715454406533229E-05,24.730587626740316,3.5891162175794218,0:32.38,131,131,31.6484,14.3247,0.0988
1555431,150,gpu_h200,adda_ocl,bicgstab,3,5.60813630489955250E-01,9.25506245096153671E-05,24.72987527735831,3.5890128352919435,0:18.97,54,107,18.3705,15.1973,4.8966
1555433,150,gpu_h200,adda_ocl,bicg,3,5.91754776519959780E-01,7.54886710537522857E-05,24.730435986474795,3.5890942102359475,0:21.79,131,131,21.1879,18.2413,5.7213
1555435,150,gpu_h200,adda_ocl_blas,bicg,3,5.91754776519974879E-01,7.54886709674716801E-05,24.730435986491429,3.5890942102383616,0:06.92,131,131,6.1612,2.0311,0.0669
1555437,250,gpu_h200,adda_ocl,bicgstab,3,5.60809395002265676E-01,8.91538898538424588E-05,24.730049767404122,3.5890381587926492,1:31.89,54,107,91.2996,75.0328,25.1694
1555439,250,gpu_h200,adda_ocl,bicg,3,5.91779622710265185E-01,7.61715450007014827E-05,24.730587626802116,3.5891162175883906,1:48.74,131,131,108.1400,92.1894,29.0157
1555441,250,gpu_h200,adda_ocl_blas,bicg,3,5.91779622706235520E-01,7.61715454406533229E-05,24.730587626740316,3.5891162175794218,0:32.68,131,131,31.9501,14.3311,0.0908
